WTG,Lat,Long,Easting,Southing
1,-22.51602815,149.3370187,740394.0019,7508176.014
2,-22.51792221,149.3470794,741425.9993,7507950.015
3,-22.52142109,149.3467498,741385.9996,7507563.014
4,-22.52471098,149.3458919,741292.0031,7507200.014
5,-22.52713561,149.3349995,740167.0032,7506949.014
6,-22.52792448,149.3047098,737048.9974,7506910.014
7,-22.52926388,149.3351713,740180.9978,7506713.014
8,-22.53014564,149.3446911,741159.0002,7506600.015
9,-22.53034648,149.3127293,737870.0035,7506629.014
10,-22.53248531,149.3371596,740380.0023,7506353.015
11,-22.53284708,149.3445618,741141.0016,7506301.014
12,-22.53309615,149.3123863,737829.9989,7506325.014
13,-22.53613643,149.3125536,737842.0009,7505988.014
14,-22.53734423,149.3438796,741062.995,7505804.015
15,-22.54104913,149.3461388,741288.9967,7505390.014
16,-22.54253074,149.3124172,737817.0045,7505280.014
17,-22.54392721,149.346897,741361.9962,7505070.014
18,-22.54503734,149.3282927,739446.0051,7504977.015
19,-22.54698837,149.3474834,741416.9982,7504730.014
20,-22.5488241,149.3286575,739476.9967,7504557.014
21,-22.55025888,149.3473346,741395.9953,7504368.014
22,-22.55163613,149.3289964,739507.0047,7504245.014
23,-22.55480161,149.329866,739590.9956,7503893.014
24,-22.55726048,149.3308989,739693.0029,7503619.014
25,-22.55824308,149.3421817,740851.996,7503492.015
26,-22.56115109,149.3427461,740905.0022,7503169.014
27,-22.56125746,149.3010155,736612.0013,7503224.014
28,-22.57000224,149.3412916,740739.9951,7502191.014
29,-22.57073602,149.30931,737449.0007,7502161.014
30,-22.57414778,149.3093863,737450.9994,7501783.014
31,-22.57793466,149.3091189,737417.0018,7501364.014
32,-22.58395314,149.3615169,742796.0006,7500613.015
33,-22.58570573,149.3546827,742090.0052,7500430.014
34,-22.58634053,149.3624813,742891.004,7500347.014
35,-22.58885271,149.3543375,742048.9959,7500082.014
36,-22.58899466,149.3624974,742888.0014,7500053.014
37,-22.59216486,149.3624154,742874.0028,7499702.014
38,-22.59305157,149.3051511,736983.0023,7499696.014
39,-22.59329525,149.3499891,741594.0023,7499597.014
40,-22.59492501,149.3625889,742887.0011,7499396.015
41,-22.59619449,149.3050867,736970.9954,7499348.014
42,-22.59843505,149.3106374,737537.9984,7499091.015
43,-22.59903997,149.3639524,743020.003,7498938.014
44,-22.60113615,149.3086502,737328.9969,7498795.014
45,-22.60251417,149.3628449,742900.0013,7498555.015
46,-22.60348065,149.3523694,741821.0015,7498465.014
47,-22.6043859,149.3080627,737263.0031,7498436.014
48,-22.60697967,149.3097688,737433.9991,7498146.014
49,-22.61012711,149.3112703,737582.997,7497795.014
50,-22.61132241,149.361245,742720.0013,7497582.014
51,-22.61270986,149.3055856,736993.9959,7497518.014
52,-22.61419331,149.3618678,742779.0037,7497263.015
53,-22.6144108,149.3266001,739151.9975,7497296.014
54,-22.61571236,149.3071236,737146.9975,7497183.014
55,-22.61730668,149.3230214,738778.9951,7496981.014
56,-22.62046746,149.3223452,738704.0023,7496632.015
57,-22.6209749,149.3078339,737211.0024,7496599.014
58,-22.62383061,149.3207873,738538.0033,7496262.014
59,-22.69732291,149.4093448,747512.0023,7487977.015
60,-22.71419507,149.3986339,746380.9986,7486126.015
61,-22.71913079,149.3976106,746267.0048,7485581.014
62,-22.72241195,149.39795,746296.0018,7485217.015
63,-22.72760571,149.3941671,745898.0043,7484648.015
64,-22.72842735,149.3826873,744717.0027,7484576.015
65,-22.73029708,149.3965108,746133.9976,7484346.015
66,-22.73053538,149.3562118,741993.001,7484386.015
67,-22.73358546,149.3569259,742060.998,7484047.015
68,-22.7338856,149.3750637,743924.0042,7483984.015
69,-22.73434252,149.3970583,746183.0033,7483897.014
70,-22.73670088,149.3757742,743992.0035,7483671.015
71,-22.73724091,149.3982379,746299.0042,7483574.014
72,-22.74062576,149.4000879,746483.0034,7483196.015
73,-22.74313015,149.40165,746638.9958,7482916.015
74,-22.74879802,149.3648768,742850.9979,7482349.015
75,-22.75948476,149.386896,745094.0013,7481129.015
76,-22.75988722,149.4045909,746910.9952,7481055.015
77,-22.76331351,149.410268,747487.9995,7480666.015
78,-22.7657743,149.4123166,747693.9956,7480390.015
79,-22.76829619,149.4127114,747729.9954,7480110.015
80,-22.76993888,149.4013694,746561.9974,7479947.015
81,-22.77053388,149.4157785,748041.0005,7479857.014
82,-22.77339161,149.4160527,748063.9963,7479540.015
83,-22.77394103,149.4089749,747336.002,7479491.015
84,-22.77450153,149.4214464,748616.0048,7479408.015
85,-22.77730303,149.4224499,748713.9978,7479096.015
86,-22.77735324,149.4131823,747762.001,7479106.014
87,-22.78088173,149.4168565,748133.0026,7478709.015
88,-22.78564979,149.4173689,748176.9974,7478180.015
89,-22.78577968,149.4254622,749008.0021,7478152.015
90,-22.78777995,149.421564,748603.9996,7477937.014
91,-22.78976567,149.4393587,750427.9952,7477687.015
92,-22.79039929,149.4303831,749505.0033,7477632.015
93,-22.79065246,149.4232408,748771.001,7477616.015
94,-22.79320147,149.4372486,750205.0022,7477310.015
95,-22.79337992,149.4261419,749063.9959,7477309.015
96,-22.79596214,149.4397319,750454.9955,7477000.015
97,-22.79609326,149.4541256,751933,7476961.016
98,-22.79793048,149.4290755,749356.9973,7476800.015
99,-22.79829363,149.4413509,750617.0013,7476739.015
100,-22.79920756,149.4722536,753789.0045,7476585.015
101,-22.79970768,149.4650279,753046.0037,7476542.015
102,-22.8005524,149.4329683,749752.0005,7476503.016
103,-22.80173326,149.4525226,751758.0014,7476339.015
104,-22.80238278,149.4642581,752962.004,7476247.015
105,-22.8024589,149.4251634,748946.9986,7476305.015
106,-22.80254901,149.4721775,753774.9961,7476215.015
107,-22.80294851,149.4404017,750511.0037,7476225.015
108,-22.80308336,149.4161477,748020.0039,7476251.015
109,-22.80386096,149.429726,749413.0006,7476142.015
110,-22.8046823,149.4556525,752074.003,7476007.015
111,-22.80519111,149.4478131,751268.0052,7475964.016
112,-22.80709482,149.4572732,752235.9954,7475737.016
113,-22.80720655,149.4710639,753652.0029,7475701.015
114,-22.80979431,149.4578475,752289.9965,7475437.015
115,-22.80998012,149.4715132,753693.0026,7475393.016
116,-22.81262954,149.4331147,749745.0015,7475165.015
117,-22.8126395,149.4723402,753772.9974,7475097.016
118,-22.81326518,149.4417249,750628.0003,7475080.015
119,-22.81496492,149.4638418,752896.0035,7474854.015
120,-22.81519784,149.4346016,749892.9978,7474878.015
121,-22.81550766,149.4730932,753845.0022,7474778.016
122,-22.81764325,149.4417543,750623.0005,7474595.015
123,-22.81937635,149.4175065,748130.0046,7474444.015
124,-22.81989967,149.4704749,753567.9954,7474296.015
125,-22.82184685,149.4218742,748573.999,7474163.015
126,-22.82361303,149.4714477,753661.0005,7473883.015
127,-22.82475424,149.4301455,749417.9971,7473827.015
128,-22.82574733,149.4236281,748746.9963,7473728.016
129,-22.82582679,149.4777109,754299.9997,7473627.016
130,-22.82651012,149.4715,753660.9975,7473562.015
131,-22.82815202,149.4364293,750056.9957,7473440.015
132,-22.82940302,149.4712406,753628.997,7473242.015
133,-22.83039635,149.4572241,752187.9974,7473156.015
134,-22.83138799,149.4461778,751051.9951,7473065.015
135,-22.83297142,149.4576697,752228.9991,7472870.015
136,-22.83306418,149.4674304,753230.9964,7472843.016
137,-22.83431206,149.4462399,751053.0017,7472741.015
138,-22.83502913,149.4271139,749088.0002,7472694.015
139,-22.83531196,149.4381445,750220.0023,7472644.015
140,-22.83590827,149.4726438,753760.9988,7472519.016
141,-22.83597353,149.4579379,752250.9966,7472537.016
142,-22.83640232,149.4506213,751499.0037,7472502.015
143,-22.83777073,149.4666485,753141.9997,7472323.015
144,-22.83950868,149.4411706,750523.0029,7472174.015
145,-22.84011248,149.4623369,752694.9965,7472071.016
146,-22.84084933,149.4526198,751696.0018,7472006.015
147,-22.84379126,149.4521076,751637.9982,7471681.015
148,-22.84772361,149.4529379,751715.9965,7471244.016
149,-22.85047259,149.4538152,751800.9951,7470938.015
150,-22.85750583,149.4531915,751724.0027,7470160.016
151,-22.8606044,149.4554,751944.9988,7469813.015
152,-22.86273251,149.4602312,752437.0002,7469569.015
153,-22.86465959,149.4541188,751806.0004,7469366.015
154,-22.86610082,149.4619188,752604.0016,7469193.016
155,-22.86906041,149.4637647,752787.9997,7468862.015
156,-22.87611944,149.464389,752839.0017,7468079.016
157,-22.87871852,149.4621171,752600.998,7467795.016
158,-22.88325301,149.467772,753172.9976,7467283.015
159,-22.88459812,149.4590372,752274.0039,7467149.015
160,-22.88586511,149.4716387,753565.0049,7466987.016
161,-22.89002483,149.4647961,752855.0049,7466538.016
162,-22.89196521,149.4671599,753094.0019,7466319.015
163,-22.89394119,149.4695537,753336.0048,7466096.016
164,-22.89745755,149.4721606,753597.004,7465702.015
165,-22.89757341,149.4809421,754497.9984,7465674.015
166,-22.9001788,149.4961516,756054.0026,7465359.016
167,-22.90029617,149.4823266,754634.9968,7465370.016
168,-22.90156041,149.4730437,753679.995,7465246.016
169,-22.90316655,149.4840842,754810.0013,7465049.016
170,-22.90360021,149.4753902,753916.9981,7465016.016
171,-22.90392555,149.4938328,755809.0012,7464948.016
172,-22.90598931,149.4854219,754941.9967,7464734.016
173,-22.90682317,149.4944218,755864.0033,7464626.016
174,-22.90699242,149.478424,754222.0008,7464635.016
175,-22.90946713,149.4823962,754624.9982,7464354.016
176,-22.90980048,149.4951097,755929.0014,7464295.016
177,-22.91202454,149.4977718,756197.9966,7464044.015
178,-22.91266945,149.4883211,755226.9952,7463989.016
179,-22.91487514,149.499052,756324.0001,7463726.016
180,-22.91558211,149.4896802,755360.9975,7463664.015
181,-22.91773279,149.4998841,756404.0039,7463408.015
182,-22.91891677,149.4906085,755449.9967,7463293.015
183,-22.92071708,149.500699,756482.0001,7463076.016
184,-22.92192284,149.4906148,755445.0023,7462960.016
185,-22.92243787,149.5089268,757323.002,7462871.015
186,-22.92439821,149.5025501,756664.9998,7462665.015
187,-22.92498552,149.4916162,755542.0042,7462619.015
188,-22.92524567,149.5089103,757316.0006,7462560.016
189,-22.92775189,149.4925147,755628.9995,7462311.016
190,-22.92797821,149.5102276,757445.9952,7462255.016
191,-22.93039483,149.4920758,755579.0024,7462019.015
192,-22.93186697,149.4977752,756161.0017,7461846.015
193,-22.93419763,149.4988219,756264.0042,7461586.016
194,-22.93773944,149.4974833,756119.9957,7461196.016
195,-22.93976252,149.4979981,756169.0021,7460971.016
